State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
NASARAWA,NASARAWA,25090264,"LGEA NURSERY I SCHOOL, LOKO",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,NASARAWA,25090265,"LGEA NURSERY II SCHOOL, LOKO",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,OBI,25110286,"LGEA NURSERY SCHOOL, GIDAN AUSA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,KEANA,25050064,"LGEA NURSERY SCHOOL, GIZA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
BENUE,ADO,7010043,"LGEA PRIMARY SCHOOL, ALOMO-RIJO UTONKON",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,ALIMOSHO,24036985,"LHI CHILD CARE ACADEMY",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
FCT,MUNICIPAL,37062552,"LIBERTY INTERNATIONAL SCHOOL KABUSA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,OJO,24173062,"LIFE FOUNDATION NUR/PRY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,IBEJU-LEKKI,24090483,"LIFE FOUNDATION NURSERY AND PRIMARY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,OSHODI-ISOLO,24181709,"LIFEGATE PREP SCHOOL ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KOGI,KOGI,22110084,"LIGHT KIDDIES ACADEMY GEGU-BEKI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
OGUN,IFO,27051722,"LIIZ INTERNATIONAL NIRSERY AND PRIMARY SCHOOL, GIWA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KATSINA,KURFI,20220054,"LIMAN MALLAM DAYYABU",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,AGEGE,24010996,"LITTLE LIGHTS CRECH",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,ALIMOSHO,24036896,"Little Lilly school ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
FCT,MUNICIPAL,37062604,"LITTLE ME PRE-SCHOOL ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
OGUN,IFO,27051656,"LIVING MINDS ACADEMY, GIWA OKE ARO, AGBADO",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
PLATEAU,JOS-NORTH,31050945,"LIVING VOICE INTL NURSERY AND PRIMARY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,ALIMOSHO,24039398,"LIVING WAY PRIVATE SCHOOL ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
