State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
Ebonyi,Abakaliki,11010330,"Modern Girls secondary School,  Ndiebor","Senior Secondary",PUBLIC,"JSS AND SSS"
ENUGU,ENUGU-EAST,14030748,"MODERN IDEAL COLLEGE EMENE","Senior Secondary",PRIVATE,PRIVATE
EBONYI,ABAKALIKI,11010364,"MODERN SECONDARY SCHOOL NDIOFUTU AMACHI ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"OBAFEMI OWODE",27132648,"MOES COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132350,"MOES SCHOOLS","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020634,"MOJI ADEGOKE  INT HOME SCHOOL","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","OGBOMOSO SOUTH                ",1312230005,"MOLETE COMMUNITY HIGH SCHOOL                                                                        ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"IJEBU NORTH",27080411,"MOLUSI COLLEGE SENIOR, IJEBU IGBO","Senior Secondary",PUBLIC,"SSS ONLY"
EDO,"ETSAKO WEST",12090203,"MOMODU COLLEGE SENIOR AGBEDE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,IFO,27050952,"MONIDAMS PRIVATE SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,MOPAMURO,22130921,"MOPA SCHOOL FOR THE DEAF, MOPA","Senior Secondary",PRIVATE,PRIVATE
KOGI,MOPAMURO,22130929,"MOPAMURO LOCAL GOVERNMENT SECONDARY SCHOOL, OKEAGI","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132649,"MORE-DAYS PRIVATE SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OSUN,IFE-CENTRAL,29110219S,"MOREMI HIGH SCHOOL, OAU ROAD 7.LLE LFE.","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OBAFEMI OWODE",27132650,"MORNING STAR COLLEGE","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,TAFAWA-BALEWA,1051740012,"MORRAWA DIVINE TAFAWA BALEWA","Senior Secondary",PRIVATE,PRIVATE
EKITI,ADO-EKITI,13010001A,"MORSAM THEME ACADEMY/COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"IJEBU ODE",27090408,"MOSLEM COMPREHENSIVE HIGH SCHOOL (SNR), IJEBU-ODE","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27031591,"MOTHERS JOY MODEL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
PLATEAU,JOS-SOUTH,31060684,"MOUNT CARMEL CHRISTIAN SCH JOS","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","IBADAN NORTH                  ",1310630022,"MOUNT OLIVET GRAMMAR SCHOOL, BODIJA                                                                 ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"YEWA NORTH",27190366,"MOUNT ZION COLLEGE, AYETORO","Senior Secondary",PRIVATE,PRIVATE
BAYELSA,YENAGOA,6081132,"MOUNTAIN TOP ACADEMY","Senior Secondary",PRIVATE,PRIVATE
OGUN,SAGAMU,27181550,"MOUNTGOODNESS COLLEGE, OGIJO","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","IBADAN NORTH EAST             ",1310730016,"MUFU LANIHUN COMPREHENSIVE HIGH SCHOOL EXPRESS ROAD                                                 ","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,LOKOJA,22121949,"MUNA INT'L COMPREHENSIVE ACADEMY","Senior Secondary",PRIVATE,PRIVATE
KANO,GWALE,20GWLPV192,"MURTALA INTERNATIONAL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27032191,"MUSHAN COMPREHENSIVE COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OSUN,ISOKAN,29220105s,"MUSILM GOVERNMENT JUNIOR SCHOOL II, APOMU","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"IJEBU NORTH",27080412,"MUSILM HIGH SCHOOL SENIOR, AGO IWOYE","Senior Secondary",PUBLIC,"SSS ONLY"
EKITI,ADO-EKITI,EK13130067,"MUSLIM COLLEGE ADO","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EJIGBO,29100121s,"MUSLIM COMMERCIAL HIGH SCHOOL,","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ATISBO                        ",1310430011,"MUSLIM COMMUNITY GRAMMAR SCHOOL, OFIKI                                                              ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"YEWA NORTH",27190321S,"MUSLIM COMMUNITY HIGH SCHOOL OJA ODAN (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,ISOKAN,29220106S,"MUSLIM COMMUNITY HIGH SCHOOL, IKOYI","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,"LOKOJA ",22121808,"MUSLIM COMMUNITY SECONDARY SCHOOL LOKONGOMA","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","SURULERE                      ",1313330002,"MUSLIM COMP. HIGH SCHOOL, OKO                                                                       ","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,"ILESHA EAST",29180121S,"MUSLIM COMPREHENSIVE COLLEGE  SABO IROJO, ILESA","Senior Secondary",PUBLIC,"JSS AND SSS"
