State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
LAGOS,ALIMOSHO,24033182,"FREEDOM AND PEACE NURSERY AND PRIMARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
KOGI,LOKOJA,22120588,"FREEDOM FAITH SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IFAKO-IJAIYE,24100260,"FREEDOM GATE SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
NASARAWA,KARU,25040361,"FREEDOM INTERNATIONAL SCHOOLS, NEW KARU","Junior Secondary",PRIVATE,"JSS AND SSS"
TARABA,TAKUM,34120409,"FREEDOM MODEL ACADEMY KABKUM","Junior Secondary",PRIVATE,"JSS ONLY"
KADUNA,ZARIA,18230330,"FREEDOM MODEL SCHOOL FORMER MASTER BUILDER GRAMMAR SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
BAYELSA,YENEGOA,6080245,"FREEDOM MONTESSORI   SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,ALIMOSHO,24036738,"FREEDOM PRIVATE SECONDARY SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,YALA,9180350,"FREEDOM SCIENCE ACADEMY SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,OSISIOMA,1111008,"FREEDOM WORD INTERNATIONAL ACADEMY ","Junior Secondary",PRIVATE,"JSS AND SSS"
NASARAWA,KARU,25041956,"FREEMAN HIGH SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,MADOBI,19280012,"FRENCH ACADEMY KWANKOSO","Junior Secondary",PUBLIC,"JSS ONLY"
RIVERS,OYIGBO,32210448,"FRESH BREET A ADEMY ( SEC )","Junior Secondary",PRIVATE,"JSS ONLY"
KWARA,"ILORIN SOUTH",23070165,"FRESH HOUR COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
BAYELSA,YENEGOA,6082094,"FRESHER ACADEMY ","Junior Secondary",PRIVATE,"JSS AND SSS"
BAYELSA,YENEGOA,6080249,"FRESHERS INTERNATIONAL ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,OJO,24173169,"FRIAD ACADEMY SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,OSHODI-ISOLO,24181642,"FRIDAHOS COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,SURULERE,24200775,"FRIEND SVILLE HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
